titulo,preco,bairro,area,quartos,banheiros,vagas,finalidade,fonte,link
Casa à venda Bairro loteamento Rafael,240000.0,Cohab Sao Francisco,100.0,3,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-bairro-loteamento-rafael-1525256329
Casa no Nova Petrolina,210000.0,Cohab Sao Francisco,53.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-nova-petrolina-1529429201
"Apartamento no Condomínio Monte Carmelo, 3 quartos, próximo à Orla I, em Petrolina/PE",450000.0,Fernando Idalino,,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-no-condominio-monte-carmelo-3-quartos-proximo-a-orla-i-em-petrolina-pe-1489654892
OPORTUNIDADE CONDOMÍNIO PRIME,1050000.0,Cidade Universitaria,130.0,3,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/oportunidade-condominio-prime-1459144266
CASA COHAB MASSANGANO ,525000.0,Cohab Massangano,200.0,3,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-cohab-massangano-1524609146
"APARTAMENTO À VENDA NO EDIFÍCIO SERRA DO OURO, PETROLINA (PE).",750000.0,,147.0,3,1,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-venda-no-edificio-serra-do-ouro-petrolina-pe-1353468091
Casa Duplex no Condominio buona Vita,1300000.0,Sao Jose,200.0,4,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-duplex-no-condominio-buona-vita-1517751003
Vendo Casa Condomínio  Sunville ,280000.0,Centro,,2,2,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vendo-casa-condominio-sunville-1514957348
Apartamento no Bairro caminho so Sol,370000.0,Km-2,78.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-no-bairro-caminho-so-sol-1407755846
Casa VILA NOVA I,295000.0,Boa Esperanca,100.0,3,2,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-vila-nova-i-1520989927
Casa 75m² com Terreno 100m² | Petrolina/PE | Dom Avelar - Próximo da Av. da Esperança e Av,163016.0,Dom Avelar,100.0,2,1,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-75m-com-terreno-100m-petrolina-pe-dom-avelar-proximo-da-av-da-esperanca-e-av-1531030559
Apartamento à Venda com Móveis Planejados no Residencial Paulo Coelho  Petrolina/PE,320000.0,Vila Moco,50.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-a-venda-com-moveis-planejados-no-residencial-paulo-coelho-petrolina-pe-1531015245
Casa no bairro padre José de Castro Petrolina,280000.0,Fernando Idalino,78.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-bairro-padre-jose-de-castro-petrolina-1422834764
Casa no Bairro Vila eduardo,500000.0,Areia Branca,90.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-bairro-vila-eduardo-1467302262
Casa No Bairro Vale Dourado,680000.0,Joao De Deus,162.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-bairro-vale-dourado-1515060497
Casa no Condomínio Solnaecente etapa 1,2200000.0,Cidade Universitaria,243.0,4,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-solnaecente-etapa-1-1525783520
Casa de Alto Padrão à Venda no Condomínio Portal das Águas  Petrolina/PE,3000000.0,Pedra Do Bode,376.0,5,5,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-de-alto-padrao-a-venda-no-condominio-portal-das-aguas-petrolina-pe-1530928066
? CASA À VENDA - SOBRADINHO/BA,95000.0,Vila Moco,,1,1,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-venda-sobradinho-ba-1530886356
Casa moderna 10 minutos da orla ,450000.0,Cohab Sao Francisco,,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-moderna-10-minutos-da-orla-1530881594
